tournament_id,tournament_name,year,tournament_gender,original_team_id,original_team_name,original_team_code,team_id,team_name,team_code,confederation_code,matches_played,wins,goals_scored,goals_conceded,goals_scored_per_match,goals_conceded_per_match,result_position,performance,finish_position_estimate,title,final_appearance,semi_final_appearance
WC-2015,2015 FIFA Women's World Cup,2015,women,T-42,Ivory Coast,CIV,T-42,Ivory Coast,CIV,CAF,3,0,3,16,1,5.333,,group stage,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-44,Japan,JPN,T-44,Japan,JPN,AFC,7,6,11,8,1.571,1.143,2,final,2,0,1,1
WC-2015,2015 FIFA Women's World Cup,2015,women,T-46,Mexico,MEX,T-46,Mexico,MEX,CONCACAF,3,0,2,8,0.667,2.667,,group stage,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-48,Netherlands,NLD,T-48,Netherlands,NLD,UEFA,4,1,3,4,0.75,1,,round of 16,16,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-49,New Zealand,NZL,T-49,New Zealand,NZL,OFC,3,0,2,3,0.667,1,,group stage,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-50,Nigeria,NGA,T-50,Nigeria,NGA,CAF,3,0,3,6,1,2,,group stage,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-53,Norway,NOR,T-53,Norway,NOR,UEFA,4,2,9,4,2.25,1,,round of 16,16,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-71,South Korea,KOR,T-71,South Korea,KOR,AFC,4,1,4,8,1,2,,round of 16,16,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-73,Spain,ESP,T-73,Spain,ESP,UEFA,3,0,2,4,0.667,1.333,,group stage,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-74,Sweden,SWE,T-74,Sweden,SWE,UEFA,4,0,5,8,1.25,2,,round of 16,16,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-75,Switzerland,CHE,T-75,Switzerland,CHE,UEFA,4,1,11,5,2.75,1.25,,round of 16,16,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-76,Thailand,THA,T-76,Thailand,THA,AFC,3,1,3,10,1,3.333,,group stage,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-83,United States,USA,T-83,United States,USA,CONCACAF,7,6,14,3,2,0.429,1,final,1,1,1,1
WC-2018,2018 FIFA Men's World Cup,2018,men,T-03,Argentina,ARG,T-03,Argentina,ARG,CONMEBOL,4,1,6,9,1.5,2.25,,round of 16,16,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-04,Australia,AUS,T-04,Australia,AUS,AFC,3,0,2,5,0.667,1.667,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-06,Belgium,BEL,T-06,Belgium,BEL,UEFA,7,6,16,6,2.286,0.857,3,third-place match,3,0,0,1
WC-2018,2018 FIFA Men's World Cup,2018,men,T-09,Brazil,BRA,T-09,Brazil,BRA,CONMEBOL,5,3,8,3,1.6,0.6,,quarter-finals,8,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-16,Colombia,COL,T-16,Colombia,COL,CONMEBOL,4,2,6,3,1.5,0.75,,round of 16,16,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-17,Costa Rica,CRI,T-17,Costa Rica,CRI,CONCACAF,3,0,2,5,0.667,1.667,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-18,Croatia,HRV,T-18,Croatia,HRV,UEFA,7,4,14,9,2,1.286,2,final,2,0,1,1
WC-2018,2018 FIFA Men's World Cup,2018,men,T-22,Denmark,DNK,T-22,Denmark,DNK,UEFA,4,1,3,2,0.75,0.5,,round of 16,16,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-26,Egypt,EGY,T-26,Egypt,EGY,CAF,3,0,2,6,0.667,2,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-28,England,ENG,T-28,England,ENG,UEFA,7,3,12,8,1.714,1.143,4,third-place match,4,0,0,1
WC-2018,2018 FIFA Men's World Cup,2018,men,T-30,France,FRA,T-30,France,FRA,UEFA,7,6,14,6,2,0.857,1,final,1,1,1,1
WC-2018,2018 FIFA Men's World Cup,2018,men,T-31,Germany,DEU,T-31,Germany,DEU,UEFA,3,1,2,4,0.667,1.333,,group stage,24,0,0,0
WC-2018,2018 FIFA Men's World Cup,2018,men,T-37,Iceland,ISL,T-37,Iceland,ISL,UEFA,3,0,2,5,0.667,1.667,,group stage,24,0,0,0
