team_id,team_name,team_code,confederation_code,tournament_gender,world_cup_appearances,titles,finals_appearances,semi_final_appearances,best_finish_position,best_finish_label,average_finish_position_estimate,total_matches_played,total_wins,goals_scored,goals_conceded,win_rate,goals_scored_per_tournament,goals_conceded_per_tournament,goals_scored_per_match,goals_conceded_per_match,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score,historical_strength_score
T-08,Bosnia and Herzegovina,BIH,UEFA,men,1,0,0,0,24,group stage,24,3,1,4,4,33.33,4,4,1.333,1.333,4.55,0,0,0,33.33,4.7
T-14,China,CHN,AFC,men,1,0,0,0,24,group stage,24,3,0,0,9,0,0,9,0,3,4.55,0,0,0,0,1.36
T-19,Cuba,CUB,CONCACAF,men,1,0,0,0,8,quarter-finals,8,3,1,5,12,33.33,5,12,1.667,4,4.55,0,0,0,33.33,4.7
T-20,Czech Republic,CZE,UEFA,men,1,0,0,0,24,group stage,24,3,1,3,4,33.33,3,4,1,1.333,4.55,0,0,0,33.33,4.7
T-23,Dutch East Indies,IDN,AFC,men,1,0,0,0,16,round of 16,16,1,0,0,6,0,0,6,0,6,4.55,0,0,0,0,1.36
T-24,East Germany,DDR,UEFA,men,1,0,0,0,12,second group stage,12,6,2,5,5,33.33,5,5,0.833,0.833,4.55,0,0,0,33.33,4.7
T-34,Haiti,HTI,CONCACAF,men,1,0,0,0,24,group stage,24,3,0,2,14,0,2,14,0.667,4.667,4.55,0,0,0,0,1.36
T-37,Iceland,ISL,UEFA,men,1,0,0,0,24,group stage,24,3,0,2,5,0,2,5,0.667,1.667,4.55,0,0,0,0,1.36
T-39,Iraq,IRQ,AFC,men,1,0,0,0,24,group stage,24,3,0,1,4,0,1,4,0.333,1.333,4.55,0,0,0,0,1.36
T-40,Israel,ISR,UEFA,men,1,0,0,0,24,group stage,24,3,0,1,3,0,1,3,0.333,1,4.55,0,0,0,0,1.36
T-43,Jamaica,JAM,CONCACAF,men,1,0,0,0,24,group stage,24,3,1,3,9,33.33,3,9,1,3,4.55,0,0,0,33.33,4.7
T-45,Kuwait,KWT,AFC,men,1,0,0,0,24,group stage,24,3,0,2,6,0,2,6,0.667,2,4.55,0,0,0,0,1.36
T-54,Panama,PAN,CONCACAF,men,1,0,0,0,24,group stage,24,3,0,2,11,0,2,11,0.667,3.667,4.55,0,0,0,0,1.36
T-59,Qatar,QAT,AFC,men,1,0,0,0,24,group stage,24,3,0,1,7,0,1,7,0.333,2.333,4.55,0,0,0,0,1.36
T-67,Serbia and Montenegro,SCG,UEFA,men,1,0,0,0,24,group stage,24,3,0,2,10,0,2,10,0.667,3.333,4.55,0,0,0,0,1.36
T-68,Slovakia,SVK,UEFA,men,1,0,0,0,16,round of 16,16,4,1,5,7,25,5,7,1.25,1.75,4.55,0,0,0,25,3.87
T-77,Togo,TGO,CAF,men,1,0,0,0,24,group stage,24,3,0,1,6,0,1,6,0.333,2,4.55,0,0,0,0,1.36
T-78,Trinidad and Tobago,TTO,CONCACAF,men,1,0,0,0,24,group stage,24,3,0,0,4,0,0,4,0,1.333,4.55,0,0,0,0,1.36
T-81,Ukraine,UKR,UEFA,men,1,0,0,0,8,quarter-finals,8,5,2,5,7,40,5,7,1,1.4,4.55,0,0,0,40,5.37
T-82,United Arab Emirates,ARE,AFC,men,1,0,0,0,24,group stage,24,3,0,2,11,0,2,11,0.667,3.667,4.55,0,0,0,0,1.36
T-88,Zaire,COD,CAF,men,1,0,0,0,24,group stage,24,3,0,0,14,0,0,14,0,4.667,4.55,0,0,0,0,1.36
T-09,Brazil,BRA,CONMEBOL,women,8,0,1,2,2,position 2,14.63,34,20,66,40,58.82,8.25,5,1.941,1.176,36.36,0,14.29,18.18,58.82,22.38
T-31,Germany,DEU,UEFA,women,8,2,3,5,1,position 1,8.5,44,30,121,39,68.18,15.13,4.88,2.75,0.886,36.36,40,42.86,45.45,68.18,43.12
T-44,Japan,JPN,AFC,women,8,1,2,2,1,position 1,15.88,33,14,39,59,42.42,4.88,7.38,1.182,1.788,36.36,20,28.57,18.18,42.42,28.59
T-50,Nigeria,NGA,CAF,women,8,0,0,0,16,quarter-final,22,26,4,20,63,15.38,2.5,7.88,0.769,2.423,36.36,0,0,0,15.38,12.45
T-53,Norway,NOR,UEFA,women,8,1,2,4,1,position 1,11.38,40,24,93,52,60,11.63,6.5,2.325,1.3,36.36,20,28.57,36.36,60,33.08
T-74,Sweden,SWE,UEFA,women,8,0,1,4,2,position 2,9.88,40,23,71,48,57.5,8.88,6,1.775,1.2,36.36,0,14.29,36.36,57.5,24.97
T-83,United States,USA,CONCACAF,women,8,4,5,8,1,position 1,1.88,50,40,138,38,80,17.25,4.75,2.76,0.76,36.36,80,71.43,72.73,80,64.1
T-04,Australia,AUS,AFC,women,7,0,0,0,16,quarter-final,20.57,26,7,38,50,26.92,5.43,7.14,1.462,1.923,31.82,0,0,0,26.92,12.24
