team_id,team_name,team_code,confederation_code,tournament_gender,world_cup_appearances,titles,finals_appearances,semi_final_appearances,best_finish_position,best_finish_label,average_finish_position_estimate,total_matches_played,total_wins,goals_scored,goals_conceded,win_rate,goals_scored_per_tournament,goals_conceded_per_tournament,goals_scored_per_match,goals_conceded_per_match,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score,historical_strength_score
N-NIR,Northern Ireland,NIR,UEFA,men,3,0,0,0,8,quarter-finals,14.67,13,3,13,23,23.08,4.33,7.67,1,1.769,13.64,0,0,0,23.08,6.4
N-NOR,Norway,NOR,UEFA,men,3,0,0,0,16,round of 16,18.67,8,2,7,8,25,2.33,2.67,0.875,1,13.64,0,0,0,25,6.59
N-IRL,Republic of Ireland,IRL,UEFA,men,3,0,0,0,8,quarter-finals,13.33,13,2,10,10,15.38,3.33,3.33,0.769,0.769,13.64,0,0,0,15.38,5.63
N-SEN,Senegal,SEN,CAF,men,3,0,0,0,8,quarter-finals,16,12,5,16,17,41.67,5.33,5.67,1.333,1.417,13.64,0,0,0,41.67,8.26
N-ZAF,South Africa,ZAF,CAF,men,3,0,0,0,24,group stage,24,9,2,11,16,22.22,3.67,5.33,1.222,1.778,13.64,0,0,0,22.22,6.31
N-CAN,Canada,CAN,CONCACAF,men,2,0,0,0,24,group stage,24,6,0,2,12,0,1,6,0.333,2,9.09,0,0,0,0,2.73
N-SLV,El Salvador,SLV,CONCACAF,men,2,0,0,0,24,group stage,24,6,0,1,22,0,0.5,11,0.167,3.667,9.09,0,0,0,0,2.73
N-NZL,New Zealand,NZL,OFC,men,2,0,0,0,24,group stage,24,6,0,4,14,0,2,7,0.667,2.333,9.09,0,0,0,0,2.73
N-PRK,North Korea,PRK,AFC,men,2,0,0,0,8,quarter-finals,16,7,1,6,21,14.29,3,10.5,0.857,3,9.09,0,0,0,14.29,4.16
N-SVN,Slovenia,SVN,UEFA,men,2,0,0,0,24,group stage,24,6,1,5,10,16.67,2.5,5,0.833,1.667,9.09,0,0,0,16.67,4.39
N-TUR,Turkey,TUR,UEFA,men,2,0,0,1,3,position 3,13.5,10,5,20,17,50,10,8.5,2,1.7,9.09,0,0,7.69,50,8.88
N-WAL,Wales,WAL,UEFA,men,2,0,0,0,8,quarter-finals,16,8,1,5,10,12.5,2.5,5,0.625,1.25,9.09,0,0,0,12.5,3.98
N-AGO,Angola,AGO,CAF,men,1,0,0,0,24,group stage,24,3,0,1,2,0,1,2,0.333,0.667,4.55,0,0,0,0,1.36
N-BIH,Bosnia and Herzegovina,BIH,UEFA,men,1,0,0,0,24,group stage,24,3,1,4,4,33.33,4,4,1.333,1.333,4.55,0,0,0,33.33,4.7
N-CHN,China,CHN,AFC,men,1,0,0,0,24,group stage,24,3,0,0,9,0,0,9,0,3,4.55,0,0,0,0,1.36
N-CUB,Cuba,CUB,CONCACAF,men,1,0,0,0,8,quarter-finals,8,3,1,5,12,33.33,5,12,1.667,4,4.55,0,0,0,33.33,4.7
N-CZE,Czech Republic,CZE,UEFA,men,1,0,0,0,24,group stage,24,3,1,3,4,33.33,3,4,1,1.333,4.55,0,0,0,33.33,4.7
N-COD,DR Congo,COD,CAF,men,1,0,0,0,24,group stage,24,3,0,0,14,0,0,14,0,4.667,4.55,0,0,0,0,1.36
N-IDN,Dutch East Indies,IDN,AFC,men,1,0,0,0,16,round of 16,16,1,0,0,6,0,0,6,0,6,4.55,0,0,0,0,1.36
N-DDR,East Germany,DDR,UEFA,men,1,0,0,0,12,second group stage,12,6,2,5,5,33.33,5,5,0.833,0.833,4.55,0,0,0,33.33,4.7
N-HTI,Haiti,HTI,CONCACAF,men,1,0,0,0,24,group stage,24,3,0,2,14,0,2,14,0.667,4.667,4.55,0,0,0,0,1.36
N-ISL,Iceland,ISL,UEFA,men,1,0,0,0,24,group stage,24,3,0,2,5,0,2,5,0.667,1.667,4.55,0,0,0,0,1.36
N-IRQ,Iraq,IRQ,AFC,men,1,0,0,0,24,group stage,24,3,0,1,4,0,1,4,0.333,1.333,4.55,0,0,0,0,1.36
N-ISR,Israel,ISR,UEFA,men,1,0,0,0,24,group stage,24,3,0,1,3,0,1,3,0.333,1,4.55,0,0,0,0,1.36
N-JAM,Jamaica,JAM,CONCACAF,men,1,0,0,0,24,group stage,24,3,1,3,9,33.33,3,9,1,3,4.55,0,0,0,33.33,4.7
N-KWT,Kuwait,KWT,AFC,men,1,0,0,0,24,group stage,24,3,0,2,6,0,2,6,0.667,2,4.55,0,0,0,0,1.36
N-PAN,Panama,PAN,CONCACAF,men,1,0,0,0,24,group stage,24,3,0,2,11,0,2,11,0.667,3.667,4.55,0,0,0,0,1.36
N-QAT,Qatar,QAT,AFC,men,1,0,0,0,24,group stage,24,3,0,1,7,0,1,7,0.333,2.333,4.55,0,0,0,0,1.36
N-SVK,Slovakia,SVK,UEFA,men,1,0,0,0,16,round of 16,16,4,1,5,7,25,5,7,1.25,1.75,4.55,0,0,0,25,3.87
N-TGO,Togo,TGO,CAF,men,1,0,0,0,24,group stage,24,3,0,1,6,0,1,6,0.333,2,4.55,0,0,0,0,1.36
N-TTO,Trinidad and Tobago,TTO,CONCACAF,men,1,0,0,0,24,group stage,24,3,0,0,4,0,0,4,0,1.333,4.55,0,0,0,0,1.36
N-UKR,Ukraine,UKR,UEFA,men,1,0,0,0,8,quarter-finals,8,5,2,5,7,40,5,7,1,1.4,4.55,0,0,0,40,5.37
N-ARE,United Arab Emirates,ARE,AFC,men,1,0,0,0,24,group stage,24,3,0,2,11,0,2,11,0.667,3.667,4.55,0,0,0,0,1.36
N-BRA,Brazil,BRA,CONMEBOL,women,8,0,1,2,2,position 2,14.63,34,20,66,40,58.82,8.25,5,1.941,1.176,36.36,0,12.5,15.38,58.82,21.6
N-DEU,Germany,DEU,UEFA,women,8,2,3,5,1,position 1,8.5,44,30,121,39,68.18,15.13,4.88,2.75,0.886,36.36,40,37.5,38.46,68.18,41
N-JPN,Japan,JPN,AFC,women,8,1,2,2,1,position 1,15.88,33,14,39,59,42.42,4.88,7.38,1.182,1.788,36.36,20,25,15.38,42.42,27.46
