rank,team_id,team_name,team_code,confederation_code,historical_strength_score,world_cup_appearances,titles,finals_appearances,semi_final_appearances,win_rate,goals_scored,goals_conceded,best_finish_label,average_finish_position_estimate,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score
72,N-HTI,Haiti,HTI,CONCACAF,1.36,1,0,0,0,0,2,14,group stage,24,4.55,0,0,0,0
73,N-ISL,Iceland,ISL,UEFA,1.36,1,0,0,0,0,2,5,group stage,24,4.55,0,0,0,0
74,N-IRQ,Iraq,IRQ,AFC,1.36,1,0,0,0,0,1,4,group stage,24,4.55,0,0,0,0
75,N-ISR,Israel,ISR,UEFA,1.36,1,0,0,0,0,1,3,group stage,24,4.55,0,0,0,0
76,N-KWT,Kuwait,KWT,AFC,1.36,1,0,0,0,0,2,6,group stage,24,4.55,0,0,0,0
77,N-PAN,Panama,PAN,CONCACAF,1.36,1,0,0,0,0,2,11,group stage,24,4.55,0,0,0,0
78,N-QAT,Qatar,QAT,AFC,1.36,1,0,0,0,0,1,7,group stage,24,4.55,0,0,0,0
79,N-TGO,Togo,TGO,CAF,1.36,1,0,0,0,0,1,6,group stage,24,4.55,0,0,0,0
80,N-TTO,Trinidad and Tobago,TTO,CONCACAF,1.36,1,0,0,0,0,0,4,group stage,24,4.55,0,0,0,0
81,N-ARE,United Arab Emirates,ARE,AFC,1.36,1,0,0,0,0,2,11,group stage,24,4.55,0,0,0,0
